pair,X,Y,rest_f_v1,stress_f_v1,rest_sig_rate_v1,stress_sig_rate_v1,rest_lag_v1,stress_lag_v1,delta_f_v1,rest_f_v2,stress_f_v2,rest_sig_rate_v2,stress_sig_rate_v2,rest_lag_v2,stress_lag_v2,delta_f_v2,same_direction,both_strong
IBI -> HR,IBI,HR,35.52806804415517,46.40545535072982,0.782051282051282,0.7941176470588235,1.3421052631578947,1.4411764705882353,10.877387306574647,52.25616596062574,47.989787721808575,0.7411764705882353,0.8888888888888888,1.2619047619047619,1.2777777777777777,-4.266378238817161,False,False
TEMP -> HR,TEMP,HR,33.8072713103228,41.94699996903573,0.7435897435897436,0.8823529411764706,1.5769230769230769,1.4411764705882353,8.139728658712933,28.188925159372207,38.713390976248604,0.7176470588235294,0.8888888888888888,1.6352941176470588,1.1111111111111112,10.524465816876397,True,True
IBI -> TEMP,IBI,TEMP,2.145407130527895,5.183137905362654,0.19230769230769232,0.35294117647058826,2.763157894736842,1.8529411764705883,3.037730774834759,2.0312883674587914,3.9122084739512766,0.2235294117647059,0.3888888888888889,2.5833333333333335,2.888888888888889,1.8809201064924852,True,True
BVP -> IBI,BVP,IBI,1.4727397771432382,2.2573915711116244,0.10256410256410256,0.20588235294117646,2.0,2.088235294117647,0.7846517939683861,1.8771582135397107,1.2078897396855954,0.2235294117647059,0.0,2.2261904761904763,2.1666666666666665,-0.6692684738541153,False,False
TEMP -> IBI,TEMP,IBI,2.232761363848505,2.745498524053101,0.24358974358974358,0.29411764705882354,2.3815789473684212,2.6470588235294117,0.5127371602045958,3.460503934336197,2.0541226376750195,0.2823529411764706,0.2777777777777778,2.5714285714285716,2.3333333333333335,-1.4063812966611775,False,False
EDA -> TEMP,EDA,TEMP,8.4202002253683,8.791126602272405,0.6153846153846154,0.6470588235294118,2.2564102564102564,1.6470588235294117,0.3709263769041051,7.657240594915344,15.10638821840309,0.5176470588235295,0.5,2.788235294117647,1.8333333333333333,7.449147623487746,True,False
TEMP -> BVP,TEMP,BVP,1.2711554183478933,1.60545919520626,0.07692307692307693,0.17647058823529413,3.217948717948718,2.735294117647059,0.33430377685836676,1.4269096737482012,1.052823505472195,0.10588235294117647,0.0,3.3058823529411763,3.3333333333333335,-0.37408616827600616,False,False
BVP -> EDA,BVP,EDA,2.6729302466507883,2.850076683566369,0.2948717948717949,0.2647058823529412,2.8333333333333335,2.4411764705882355,0.17714643691558063,5.031025028177205,4.437652233185471,0.5176470588235295,0.4444444444444444,2.988235294117647,2.111111111111111,-0.5933727949917342,False,False
EDA -> IBI,EDA,IBI,2.668640227898668,2.8452276284616533,0.2948717948717949,0.29411764705882354,1.986842105263158,2.1176470588235294,0.1765874005629855,3.4137964402387078,1.823998327661014,0.3058823529411765,0.2777777777777778,1.8928571428571428,2.8333333333333335,-1.5897981125776937,False,False
IBI -> BVP,IBI,BVP,1.6498618833788763,1.576498540968245,0.16666666666666666,0.17647058823529413,2.8421052631578947,2.5294117647058822,-0.07336334241063125,2.3637697068689003,1.5537710702650822,0.29411764705882354,0.16666666666666666,3.0833333333333335,2.611111111111111,-0.8099986366038181,False,False
HR -> BVP,HR,BVP,1.18824273529107,0.9109921719954542,0.05128205128205128,0.0,3.5384615384615383,2.823529411764706,-0.2772505632956158,2.063267231913554,0.7355360881700124,0.1411764705882353,0.05555555555555555,3.447058823529412,3.4444444444444446,-1.3277311437435415,False,False
BVP -> TEMP,BVP,TEMP,2.795016127129087,1.8334725115345072,0.2692307692307692,0.17647058823529413,2.4871794871794872,2.7058823529411766,-0.96154361559458,3.1061117943281533,2.876022433770045,0.3411764705882353,0.2777777777777778,2.588235294117647,2.5,-0.23008936055810825,False,False
BVP -> HR,BVP,HR,2.6169367090251385,1.604119436662238,0.21794871794871795,0.14705882352941177,2.8974358974358974,3.4705882352941178,-1.0128172723629005,2.4258962200015515,1.4597572319463061,0.2823529411764706,0.16666666666666666,3.070588235294118,3.3333333333333335,-0.9661389880552453,False,False
EDA -> BVP,EDA,BVP,3.4786690217863145,2.1683867372606045,0.3717948717948718,0.2647058823529412,3.641025641025641,3.1470588235294117,-1.31028228452571,4.297429514389195,1.7212525846331752,0.5764705882352941,0.2222222222222222,3.5764705882352943,3.0,-2.57617692975602,False,False
HR -> IBI,HR,IBI,6.598603218414253,4.3118947462761525,0.6410256410256411,0.5294117647058824,2.039473684210526,2.6470588235294117,-2.2867084721381,9.136684540708776,6.724232222143632,0.6235294117647059,0.7777777777777778,2.5476190476190474,2.7222222222222223,-2.412452318565144,False,False
IBI -> EDA,IBI,EDA,5.669732362307663,2.5351529277263025,0.2692307692307692,0.20588235294117646,1.9342105263157894,2.6470588235294117,-3.1345794345813602,3.5561985765507123,1.9939619130895498,0.25882352941176473,0.2222222222222222,2.011904761904762,2.388888888888889,-1.5622366634611624,False,False
EDA -> HR,EDA,HR,49.23050876778828,45.062783625905645,0.9230769230769231,0.7058823529411765,1.5897435897435896,1.588235294117647,-4.167725141882634,43.70273794053524,40.70420857275615,0.8470588235294118,0.7777777777777778,1.8705882352941177,1.1666666666666667,-2.998529367779092,False,False
TEMP -> EDA,TEMP,EDA,14.06061057246438,6.377369125046005,0.5512820512820513,0.47058823529411764,2.1153846153846154,2.323529411764706,-7.683241447418375,28.483269564348223,10.362369198685053,0.4588235294117647,0.5555555555555556,2.1176470588235294,2.0555555555555554,-18.120900365663168,False,False
HR -> EDA,HR,EDA,12.45785233285957,4.0665834663138005,0.5128205128205128,0.35294117647058826,2.1794871794871793,2.3823529411764706,-8.391268866545769,10.724759927353894,6.277988882425436,0.5176470588235295,0.5,2.4705882352941178,2.2777777777777777,-4.446771044928457,False,False
HR -> TEMP,HR,TEMP,34.759922821703235,9.867674815904442,0.5128205128205128,0.7941176470588235,2.551282051282051,1.8529411764705883,-24.89224800579879,4.9073919226609535,11.319390724845542,0.4,0.6666666666666666,2.4823529411764707,2.611111111111111,6.411998802184589,False,False
